Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,696,Dacosta Gonzalez,4.4,4.4,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0
F,685,Butler-Oyedeji,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,697,Sadi,4.5,4.5,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,684,D.D.Fofana,5.0,5.0,Chelsea,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,3,0.0
F,706,Pollock,4.5,4.5,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,677,Hinshelwood,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,683,Kuol,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,707,Sinisalo,4.0,4.0,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,712,Perrone,4.4,4.4,Man City,9,0.0,11,0.0,10,0.0,11,0.0,11,0.0,13,0.0
D,716,Bree,4.5,4.5,Southampton,0,0.0,2,0.0,2,0.0,0,0.0,1,0.0,2,0.0
G,717,Bentley,4.0,4.0,Wolves,0,0.0,0,0.0,1,0.0,2,0.0,0,0.0,1,0.0
M,719,Ayari,4.5,4.5,Brighton,11,0.0,11,0.0,15,0.0,12,0.0,11,0.0,8,0.0
M,654,Wells-Morrison,4.5,4.5,Crystal Palace,2,0.0,2,0.0,2,0.0,1,0.0,1,0.0,1,0.0
M,653,Hutchinson,4.2,4.2,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,735,Marçal-Madivadua,4.5,4.5,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,639,Braybrooke,4.5,4.5,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,747,Wickens,4.0,4.0,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,644,Goodman,4.0,4.0,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,643,Mainoo,4.5,4.5,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,642,Balmer,4.0,4.0,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,641,Godo,4.5,4.5,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,640,Turns,4.0,4.0,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,638,Bogarde,4.0,4.0,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,652,Furlong,4.0,4.0,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,748,Mundle,4.5,4.5,Spurs,2,0.0,3,0.0,3,0.0,1,0.0,1,0.0,1,0.0
G,749,G.Shelvey,4.0,4.0,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,750,C.Robinson,4.0,4.0,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,751,Walters,4.0,4.0,Arsenal,1,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0
D,637,John,4.0,4.0,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,636,Parkes,4.0,4.0,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,645,Wormleighton,4.0,4.0,Leicester,0,0.0,2,0.0,1,0.0,1,0.0,0,0.0,0,0.0
D,646,Crama,4.0,4.0,Brentford,0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0
D,746,Casey,4.0,4.0,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,745,Zych,4.0,4.0,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,744,Swinkels,4.0,4.0,Aston Villa,3,0.0,4,0.0,4,0.0,2,0.0,0,0.0,0,0.0
D,743,Monteiro,4.0,4.0,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0
D,742,Chilokoa-Mullen,4.0,4.0,Leeds,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0
M,741,Miley,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,740,Hegyi,3.9,3.9,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,647,Payne,4.5,4.5,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,648,Finnigan,4.5,4.5,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,739,Anang,4.0,4.0,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,738,Kinsey-Wellings,4.0,4.0,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,737,Greenwood,4.0,4.0,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,598,Bevan,4.0,4.0,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,649,Plain,4.0,4.0,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,650,Yarmolyuk,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,599,Gomes,4.5,4.5,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,10359,Louie Moulden,99.9,99.9,Wolves,0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0
F,597,Saydee,4.5,4.5,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,229,Roberts,5.0,5.0,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,223,Klich,4.6,4.6,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,219,Stansfield,4.5,4.5,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,218,Muniz,5.4,5.4,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,216,Onomah,4.3,4.3,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,208,Kongolo,3.9,3.9,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,206,Bryan,4.4,4.4,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,203,Chalobah,4.4,4.4,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,202,Knockaert,4.7,4.7,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,198,Nkounkou,4.0,4.0,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,196,Branthwaite,4.0,4.0,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,187,Gbamin,4.5,4.5,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,184,André Gomes,4.5,4.5,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,183,Allan,4.8,4.8,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,181,Dele,5.3,5.3,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,177,Rondón,4.9,4.9,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,228,Llorente,4.4,4.4,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,232,Raphinha,7.0,7.0,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,234,Shackleton,4.5,4.5,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,334,Telles,5.0,5.0,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,326,Ronaldo,10.2,10.2,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,323,Delap,4.4,4.4,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,322,Wilson-Esbrand,3.8,3.8,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,320,Mbete,3.9,3.9,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,317,McAtee,4.5,4.5,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,310,Steffen,4.0,4.0,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,306,Cancelo,7.1,7.1,Man City,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,298,Ramsay,3.9,3.9,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,263,Choudhury,4.5,4.5,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,260,Pérez,4.7,4.7,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,251,Albrighton,4.7,4.7,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,248,Schmeichel,5.0,5.0,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,247,Gyabi,4.2,4.2,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,243,Hjelde,3.9,3.9,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,242,Gelhardt,5.1,5.1,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,241,Bate,4.5,4.5,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,351,Fernández,4.4,4.4,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,61,Lowe,5.2,5.2,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,54,Archer,4.2,4.2,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,52,Davis,5.4,5.4,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,38,Hause,4.4,4.4,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,36,Sanson,4.3,4.3,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,24,Turner,3.8,3.8,Arsenal,1,0.0,3,0.0,4,0.0,3,0.0,3,0.0,3,0.0
M,22,Torreira,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,17,Tavares,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,9,Pépé,5.3,5.3,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,68,Pearson,4.4,4.4,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,77,Dennis,3.9,3.9,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,151,Ampadu,4.4,4.4,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,82,Canós,5.0,5.0,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,143,Sarr,5.0,5.0,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,138,Kenedy,3.9,3.9,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,137,Werner,7.9,7.9,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,131,Barkley,4.9,4.9,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,129,Alonso,5.3,5.3,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,126,Kozłowski,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,122,Roberts,4.0,4.0,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,121,Richards,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,118,Mwepu,5.3,5.3,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,115,Alzate,4.4,4.4,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,100,Balcombe,4.0,4.0,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,99,Bidstrup,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,98,Thompson,4.0,4.0,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,97,Forss,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,96,Goode,3.9,3.9,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,91,Bech,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,592,H.Davies,4.0,4.0,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,339,Bailly,4.0,4.0,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,352,Clark,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,494,Mosquera,3.9,3.9,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,547,Drameh,4.0,4.0,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,546,Harris,4.3,4.3,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,543,Clarke,4.0,4.0,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,542,Scherpen,4.0,4.0,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,541,Dervişoğlu,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,540,Stevens,4.0,4.0,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,539,Hill,4.4,4.4,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,537,Kesler Hayden,4.0,4.0,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,532,Mbabu,4.3,4.3,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,525,Augustinsson,4.3,4.3,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,524,O'Brien,4.7,4.7,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,522,Spence,4.1,4.1,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,521,Francois,4.4,4.4,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,500,Van den Berg,4.0,4.0,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,499,Davies,4.0,4.0,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,353,Darlow,3.9,3.9,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,496,Plange,4.5,4.5,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,548,Iversen,3.8,3.8,Leicester,86,0.0,86,0.0,87,0.0,85,0.0,85,0.0,84,0.0
M,550,Amad,4.4,4.4,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,551,Iqbal,4.2,4.2,Man Utd,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,566,Hodge,4.3,4.3,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0
F,591,Ablade,4.5,4.5,Fulham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,581,Smithies,3.9,3.9,Leicester,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,579,Guedes,5.8,5.8,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,572,Oko-Flex,4.4,4.4,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,568,Campbell,4.4,4.4,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,567,Ronan,4.4,4.4,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,565,Gray,4.5,4.5,Leeds,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,553,Hammond,4.3,4.3,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,563,Chambers,4.0,4.0,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,561,Warrington,4.4,4.4,Everton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,560,Mills,4.3,4.3,Everton,0,0.0,1,0.0,0,0.0,1,0.0,2,0.0,2,0.0
D,558,Bueno,3.8,3.8,Wolves,9,0.0,11,0.0,10,0.0,11,0.0,13,0.0,14,0.0
G,557,Smith,3.9,3.9,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,556,Coventry,4.4,4.4,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,554,Bryan,5.0,5.0,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,498,R.Williams,4.0,4.0,Liverpool,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,492,Šarkić,3.9,3.9,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,421,Lis,4.0,4.0,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,414,Valery,4.0,4.0,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,488,Fabio Silva,5.5,5.5,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,404,Stephens,4.3,4.3,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,403,Redmond,5.3,5.3,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,402,Romeu,4.8,4.8,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,396,Ojeda,4.5,4.5,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,395,Mighten,4.9,4.9,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,393,Mbe Soh,4.2,4.2,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,390,Xande Silva,5.0,5.0,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,384,Lolley,4.9,4.9,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,380,Lyle Taylor,4.1,4.1,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,375,Hendrick,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,361,Gayle,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,415,Smallbone,4.5,4.5,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,412,Tella,5.0,5.0,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,429,Doherty,4.6,4.6,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,449,White,4.4,4.4,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,437,Bergwijn,5.5,5.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,485,Cundle,4.4,4.4,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,438,Reguilón,4.2,4.2,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,466,Vlasic,5.0,5.0,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,442,Rodon,4.0,4.0,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,462,Masuaku,4.5,4.5,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,453,Parrott,4.5,4.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,452,Devine,4.3,4.3,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,447,Scarlett,4.5,4.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,451,Austin,3.9,3.9,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,434,Winks,4.4,4.4,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,273,Brunt,3.9,3.9,Leicester,0,0.028,0,0.035,0,0.012,0,-0.025,0,-0.037,0,-0.014
M,630,Nwaneri,4.5,4.5,Arsenal,0,-0.034,0,-0.005,0,-0.023,0,-0.012,0,0.043,0,0.02
M,564,Bajcetic,4.3,4.3,Liverpool,0,-0.036,0,0.008,0,-0.021,0,-0.01,0,-0.019,0,0.025
D,531,Vinagre,4.3,4.3,Everton,0,-0.031,0,-0.005,0,-0.037,0,-0.035,0,0.011,0,0.038
D,664,Lembikisa,4.0,4.0,Wolves,0,-0.004,0,-0.037,0,-0.018,0,-0.031,0,0.032,0,-0.037
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.0,0,0.005,0,-0.057,0,-0.038,0,-0.06,0,-0.003
D,14,Tomiyasu,4.2,4.2,Arsenal,0,-0.069,0,-0.037,0,-0.058,0,-0.047,0,0.028,0,-0.0
M,678,Price,4.5,4.5,Everton,0,-0.082,0,-0.081,0,-0.088,0,-0.095,0,-0.076,0,-0.061
D,146,James,5.8,5.8,Chelsea,0,-0.076,0,-0.12,0,-0.001,0,0.001,0,-0.217,0,-0.102
D,385,McKenna,4.4,4.4,Nott'm Forest,0,-0.152,0,-0.143,0,-0.089,0,-0.147,0,-0.152,0,-0.122
M,440,Bentancur,5.3,5.3,Spurs,0,-0.22,0,-0.244,0,-0.193,0,-0.211,0,-0.206,0,-0.145
D,533,Martínez,4.5,4.5,Man Utd,0,-0.169,0,-0.4,0,-0.187,0,-0.147,0,-0.307,0,-0.139
