,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
15,8,Leno,GKP,1,Fulham,4.7,0.0,5.16,89.0,1,1,-1,0,0,1,0,1,5.156
12,8,R.Varane,DEF,2,Man Utd,5.0,0.0,4.43,75.0,1,1,-1,0,0,1,0,1,4.427
5,8,Trippier,DEF,2,Newcastle,6.8,0.0,4.8,87.0,1,1,-1,0,0,1,0,1,4.804
18,8,Andersen,DEF,2,Crystal Palace,0.0,0.0,4.86,85.0,1,1,-1,0,0,0,0,1,4.865
6,8,Cash,DEF,2,Aston Villa,0.0,0.0,4.92,77.0,1,1,-1,0,0,0,0,1,4.925
9,8,Mbeumo,MID,3,Brentford,0.0,0.0,4.64,83.0,1,1,-1,0,0,0,0,1,4.637
2,8,Saka,MID,3,Arsenal,8.6,0.0,5.43,85.0,1,1,-1,0,0,1,0,1,5.434
4,8,Maddison,MID,3,Spurs,7.9,0.0,5.6,85.0,1,1,-1,0,0,1,0,1,5.598
0,8,Salah,MID,3,Liverpool,0.0,0.0,5.68,85.0,1,1,-1,0,1,0,0,1,5.676
1,8,Son,MID,3,Spurs,0.0,0.0,8.19,82.0,1,1,-1,1,0,0,0,2,16.372
11,8,J.Alvarez,FWD,4,Man City,7.0,0.0,4.43,77.0,1,1,-1,0,0,1,0,1,4.428
16,8,Raya,GKP,1,Arsenal,0.0,0.0,3.04,75.0,1,0,0,0,0,0,0,0,0.0
10,8,Solanke,FWD,4,Bournemouth,6.4,0.0,4.31,85.0,1,0,1,0,0,1,0,0,0.0
8,8,Robertson,DEF,2,Liverpool,6.6,0.0,3.51,80.0,1,0,2,0,0,1,0,0,0.0
23,8,Mubama,FWD,4,West Ham,4.3,0.0,0.24,3.0,1,0,3,0,0,1,0,0,0.0
17,8,Areola,GKP,1,West Ham,0.0,4.2,3.48,89.0,0,0,-1,0,0,0,1,0,0.0
14,8,Estupiñan,DEF,2,Brighton,0.0,5.1,3.49,75.0,0,0,-1,0,0,0,1,0,0.0
20,8,Romero,DEF,2,Spurs,0.0,4.7,4.02,80.0,0,0,-1,0,0,0,1,0,0.0
21,8,Ream,DEF,2,Fulham,0.0,4.5,4.43,72.0,0,0,-1,0,0,0,1,0,0.0
19,8,Gordon,MID,3,Newcastle,0.0,5.6,3.47,72.0,0,0,-1,0,0,0,1,0,0.0
7,8,Diaby,MID,3,Aston Villa,0.0,6.7,4.88,77.0,0,0,-1,0,0,0,1,0,0.0
22,8,Archer,FWD,4,Sheffield Utd,0.0,4.5,3.32,78.0,0,0,-1,0,0,0,1,0,0.0
13,8,Watkins,FWD,4,Aston Villa,0.0,7.9,4.5,80.0,0,0,-1,0,0,0,1,0,0.0
3,8,Haaland,FWD,4,Man City,0.0,14.0,5.49,86.0,0,0,-1,0,0,0,1,0,0.0
35,9,Leno,GKP,1,Fulham,0.0,0.0,3.65,89.0,1,1,-1,0,0,0,0,1,3.65
29,9,Cash,DEF,2,Aston Villa,0.0,0.0,4.98,77.0,1,1,-1,0,0,0,0,1,4.982
34,9,R.Varane,DEF,2,Man Utd,0.0,0.0,4.99,75.0,1,1,-1,0,0,0,0,1,4.993
30,9,Robertson,DEF,2,Liverpool,0.0,0.0,5.37,80.0,1,1,-1,0,0,0,0,1,5.367
28,9,Trippier,DEF,2,Newcastle,0.0,0.0,5.46,87.0,1,1,-1,0,0,0,0,1,5.463
26,9,Saka,MID,3,Arsenal,0.0,0.0,5.27,85.0,1,1,-1,0,0,0,0,1,5.267
27,9,Maddison,MID,3,Spurs,0.0,0.0,5.62,85.0,1,1,-1,0,0,0,0,1,5.623
31,9,Mbeumo,MID,3,Brentford,0.0,0.0,5.65,83.0,1,1,-1,0,0,0,0,1,5.65
24,9,Salah,MID,3,Liverpool,0.0,0.0,6.85,85.0,1,1,-1,0,1,0,0,1,6.851
25,9,Son,MID,3,Spurs,0.0,0.0,7.15,82.0,1,1,-1,1,0,0,0,2,14.306
32,9,Solanke,FWD,4,Bournemouth,0.0,0.0,4.63,85.0,1,1,-1,0,0,0,0,1,4.631
36,9,Raya,GKP,1,Arsenal,0.0,0.0,3.54,75.0,1,0,0,0,0,0,0,0,0.0
33,9,J.Alvarez,FWD,4,Man City,0.0,0.0,4.51,77.0,1,0,1,0,0,0,0,0,0.0
37,9,Andersen,DEF,2,Crystal Palace,0.0,0.0,2.88,85.0,1,0,2,0,0,0,0,0,0.0
38,9,Mubama,FWD,4,West Ham,0.0,0.0,0.29,3.0,1,0,3,0,0,0,0,0,0.0
51,10,Raya,GKP,1,Arsenal,0.0,0.0,5.61,75.0,1,1,-1,0,0,0,0,1,5.607
43,10,Trippier,DEF,2,Newcastle,0.0,0.0,5.09,87.0,1,1,-1,0,0,0,0,1,5.089
45,10,Robertson,DEF,2,Liverpool,0.0,0.0,5.8,80.0,1,1,-1,0,0,0,0,1,5.801
44,10,Cash,DEF,2,Aston Villa,0.0,0.0,6.09,77.0,1,1,-1,0,0,0,0,1,6.089
46,10,Mbeumo,MID,3,Brentford,0.0,0.0,4.41,83.0,1,1,-1,0,0,0,0,1,4.412
42,10,Maddison,MID,3,Spurs,0.0,0.0,5.06,85.0,1,1,-1,0,0,0,0,1,5.06
40,10,Son,MID,3,Spurs,0.0,0.0,6.42,82.0,1,1,-1,0,0,0,0,1,6.424
41,10,Saka,MID,3,Arsenal,0.0,0.0,6.84,85.0,1,1,-1,0,1,0,0,1,6.842
39,10,Salah,MID,3,Liverpool,0.0,0.0,7.53,85.0,1,1,-1,1,0,0,0,2,15.06
48,10,J.Alvarez,FWD,4,Man City,0.0,0.0,4.84,77.0,1,1,-1,0,0,0,0,1,4.837
47,10,Solanke,FWD,4,Bournemouth,0.0,0.0,4.91,85.0,1,1,-1,0,0,0,0,1,4.91
50,10,Leno,GKP,1,Fulham,0.0,0.0,3.35,89.0,1,0,0,0,0,0,0,0,0.0
52,10,Andersen,DEF,2,Crystal Palace,0.0,0.0,3.76,85.0,1,0,1,0,0,0,0,0,0.0
49,10,R.Varane,DEF,2,Man Utd,0.0,0.0,3.06,75.0,1,0,2,0,0,0,0,0,0.0
53,10,Mubama,FWD,4,West Ham,0.0,0.0,0.27,3.0,1,0,3,0,0,0,0,0,0.0
65,11,Leno,GKP,1,Fulham,0.0,0.0,4.18,89.0,1,1,-1,0,0,0,0,1,4.181
67,11,Andersen,DEF,2,Crystal Palace,0.0,0.0,4.41,85.0,1,1,-1,0,0,0,0,1,4.411
64,11,R.Varane,DEF,2,Man Utd,0.0,0.0,4.54,75.0,1,1,-1,0,0,0,0,1,4.545
59,11,Cash,DEF,2,Aston Villa,0.0,0.0,5.01,77.0,1,1,-1,0,0,0,0,1,5.007
60,11,Robertson,DEF,2,Liverpool,0.0,0.0,5.14,80.0,1,1,-1,0,0,0,0,1,5.137
57,11,Maddison,MID,3,Spurs,0.0,0.0,4.9,85.0,1,1,-1,0,0,0,0,1,4.903
61,11,Mbeumo,MID,3,Brentford,0.0,0.0,5.26,83.0,1,1,-1,0,0,0,0,1,5.258
56,11,Saka,MID,3,Arsenal,0.0,0.0,5.4,85.0,1,1,-1,0,0,0,0,1,5.395
55,11,Son,MID,3,Spurs,0.0,0.0,6.28,82.0,1,1,-1,0,1,0,0,1,6.28
54,11,Salah,MID,3,Liverpool,0.0,0.0,7.49,85.0,1,1,-1,1,0,0,0,2,14.986
63,11,J.Alvarez,FWD,4,Man City,0.0,0.0,5.43,77.0,1,1,-1,0,0,0,0,1,5.428
66,11,Raya,GKP,1,Arsenal,0.0,0.0,3.26,75.0,1,0,0,0,0,0,0,0,0.0
58,11,Trippier,DEF,2,Newcastle,0.0,0.0,4.18,87.0,1,0,1,0,0,0,0,0,0.0
62,11,Solanke,FWD,4,Bournemouth,0.0,0.0,3.83,85.0,1,0,2,0,0,0,0,0,0.0
68,11,Mubama,FWD,4,West Ham,0.0,0.0,0.23,3.0,1,0,3,0,0,0,0,0,0.0
81,12,Raya,GKP,1,Arsenal,0.0,0.0,5.37,75.0,1,1,-1,0,0,0,0,1,5.369
82,12,Andersen,DEF,2,Crystal Palace,0.0,0.0,4.46,85.0,1,1,-1,0,0,0,0,1,4.464
75,12,Robertson,DEF,2,Liverpool,0.0,0.0,4.64,80.0,1,1,-1,0,0,0,0,1,4.635
73,12,Trippier,DEF,2,Newcastle,0.0,0.0,5.12,87.0,1,1,-1,0,0,0,0,1,5.121
74,12,Cash,DEF,2,Aston Villa,0.0,0.0,5.28,77.0,1,1,-1,0,0,0,0,1,5.275
79,12,R.Varane,DEF,2,Man Utd,0.0,0.0,5.71,75.0,1,1,-1,0,0,0,0,1,5.709
72,12,Maddison,MID,3,Spurs,0.0,0.0,5.51,85.0,1,1,-1,0,0,0,0,1,5.51
71,12,Saka,MID,3,Arsenal,0.0,0.0,6.43,85.0,1,1,-1,0,0,0,0,1,6.431
69,12,Salah,MID,3,Liverpool,0.0,0.0,6.66,85.0,1,1,-1,0,1,0,0,1,6.656
70,12,Son,MID,3,Spurs,0.0,0.0,6.99,82.0,1,1,-1,1,0,0,0,2,13.974
78,12,J.Alvarez,FWD,4,Man City,0.0,0.0,4.52,77.0,1,1,-1,0,0,0,0,1,4.521
80,12,Leno,GKP,1,Fulham,0.0,0.0,3.62,89.0,1,0,0,0,0,0,0,0,0.0
