,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
15,8,Leno,GKP,1,Fulham,4.7,0.0,5.16,89.0,1,1,-1,0,0,1,0,1,5.156
11,8,R.Varane,DEF,2,Man Utd,5.0,0.0,4.43,75.0,1,1,-1,0,0,1,0,1,4.427
5,8,Trippier,DEF,2,Newcastle,6.8,0.0,4.8,87.0,1,1,-1,0,0,1,0,1,4.804
18,8,Andersen,DEF,2,Crystal Palace,0.0,0.0,4.86,85.0,1,1,-1,0,0,0,0,1,4.865
6,8,Cash,DEF,2,Aston Villa,0.0,0.0,4.92,77.0,1,1,-1,0,0,0,0,1,4.925
9,8,Mbeumo,MID,3,Brentford,0.0,0.0,4.64,83.0,1,1,-1,0,0,0,0,1,4.637
2,8,Saka,MID,3,Arsenal,8.6,0.0,5.43,85.0,1,1,-1,0,0,1,0,1,5.434
4,8,Maddison,MID,3,Spurs,7.9,0.0,5.6,85.0,1,1,-1,0,0,1,0,1,5.598
0,8,Salah,MID,3,Liverpool,0.0,0.0,5.68,85.0,1,1,-1,0,1,0,0,1,5.676
1,8,Son,MID,3,Spurs,0.0,0.0,8.19,82.0,1,1,-1,1,0,0,0,2,16.372
10,8,J.Alvarez,FWD,4,Man City,7.0,0.0,4.43,77.0,1,1,-1,0,0,1,0,1,4.428
13,8,A.Becker,GKP,1,Liverpool,5.5,0.0,3.42,89.0,1,0,0,0,0,1,0,0,0.0
8,8,Robertson,DEF,2,Liverpool,6.6,0.0,3.51,80.0,1,0,1,0,0,1,0,0,0.0
22,8,Archer,FWD,4,Sheffield Utd,0.0,0.0,3.32,78.0,1,0,2,0,0,0,0,0,0.0
23,8,Duran,FWD,4,Aston Villa,5.0,0.0,2.68,10.0,1,0,3,0,0,1,0,0,0.0
16,8,Raya,GKP,1,Arsenal,0.0,4.8,3.04,75.0,0,0,-1,0,0,0,1,0,0.0
17,8,Areola,GKP,1,West Ham,0.0,4.2,3.48,89.0,0,0,-1,0,0,0,1,0,0.0
14,8,Estupiñan,DEF,2,Brighton,0.0,5.1,3.49,75.0,0,0,-1,0,0,0,1,0,0.0
20,8,Romero,DEF,2,Spurs,0.0,4.7,4.02,80.0,0,0,-1,0,0,0,1,0,0.0
21,8,Ream,DEF,2,Fulham,0.0,4.5,4.43,72.0,0,0,-1,0,0,0,1,0,0.0
19,8,Gordon,MID,3,Newcastle,0.0,5.6,3.47,72.0,0,0,-1,0,0,0,1,0,0.0
7,8,Diaby,MID,3,Aston Villa,0.0,6.7,4.88,77.0,0,0,-1,0,0,0,1,0,0.0
12,8,Watkins,FWD,4,Aston Villa,0.0,7.9,4.5,80.0,0,0,-1,0,0,0,1,0,0.0
3,8,Haaland,FWD,4,Man City,0.0,14.0,5.49,86.0,0,0,-1,0,0,0,1,0,0.0
34,9,A.Becker,GKP,1,Liverpool,0.0,0.0,4.83,89.0,1,1,-1,0,0,0,0,1,4.831
29,9,Cash,DEF,2,Aston Villa,0.0,0.0,4.98,77.0,1,1,-1,0,0,0,0,1,4.982
33,9,R.Varane,DEF,2,Man Utd,0.0,0.0,4.99,75.0,1,1,-1,0,0,0,0,1,4.993
30,9,Robertson,DEF,2,Liverpool,0.0,0.0,5.37,80.0,1,1,-1,0,0,0,0,1,5.367
28,9,Trippier,DEF,2,Newcastle,0.0,0.0,5.46,87.0,1,1,-1,0,0,0,0,1,5.463
26,9,Saka,MID,3,Arsenal,0.0,0.0,5.27,85.0,1,1,-1,0,0,0,0,1,5.267
27,9,Maddison,MID,3,Spurs,0.0,0.0,5.62,85.0,1,1,-1,0,0,0,0,1,5.623
31,9,Mbeumo,MID,3,Brentford,0.0,0.0,5.65,83.0,1,1,-1,0,0,0,0,1,5.65
24,9,Salah,MID,3,Liverpool,0.0,0.0,6.85,85.0,1,1,-1,0,1,0,0,1,6.851
25,9,Son,MID,3,Spurs,0.0,0.0,7.15,82.0,1,1,-1,1,0,0,0,2,14.306
32,9,J.Alvarez,FWD,4,Man City,0.0,0.0,4.51,77.0,1,1,-1,0,0,0,0,1,4.514
35,9,Leno,GKP,1,Fulham,0.0,0.0,3.65,89.0,1,0,0,0,0,0,0,0,0.0
38,9,Duran,FWD,4,Aston Villa,0.0,0.0,3.74,10.0,1,0,1,0,0,0,0,0,0.0
37,9,Archer,FWD,4,Sheffield Utd,0.0,0.0,3.21,78.0,1,0,2,0,0,0,0,0,0.0
36,9,Andersen,DEF,2,Crystal Palace,0.0,0.0,2.88,85.0,1,0,3,0,0,0,0,0,0.0
49,10,A.Becker,GKP,1,Liverpool,0.0,0.0,5.23,89.0,1,1,-1,0,0,0,0,1,5.228
43,10,Trippier,DEF,2,Newcastle,0.0,0.0,5.09,87.0,1,1,-1,0,0,0,0,1,5.089
45,10,Robertson,DEF,2,Liverpool,0.0,0.0,5.8,80.0,1,1,-1,0,0,0,0,1,5.801
51,10,White,DEF,2,Arsenal,5.5,0.0,5.88,84.0,1,1,-1,0,0,1,0,1,5.878
44,10,Cash,DEF,2,Aston Villa,0.0,0.0,6.09,77.0,1,1,-1,0,0,0,0,1,6.089
46,10,Mbeumo,MID,3,Brentford,0.0,0.0,4.41,83.0,1,1,-1,0,0,0,0,1,4.412
42,10,Maddison,MID,3,Spurs,0.0,0.0,5.06,85.0,1,1,-1,0,0,0,0,1,5.06
40,10,Son,MID,3,Spurs,0.0,0.0,6.42,82.0,1,1,-1,0,0,0,0,1,6.424
