,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
9,35,Ederson,GKP,1,Man City,0.0,0.0,4.47,81,1,1,-1,0,0,0,0,1,4.468
6,35,Trippier,DEF,2,Newcastle,0.0,0.0,3.56,85,1,1,-1,0,0,0,0,1,3.561
7,35,Shaw,DEF,2,Man Utd,0.0,0.0,3.66,83,1,1,-1,0,0,0,0,1,3.663
15,35,Aurier,DEF,2,Nott'm Forest,4.3,0.0,4.28,85,1,1,-1,0,0,1,0,1,4.275
5,35,March,MID,3,Brighton,0.0,0.0,4.34,82,1,1,-1,0,0,0,0,1,4.339
3,35,Mac Allister,MID,3,Brighton,0.0,0.0,4.97,79,1,1,-1,0,0,0,0,1,4.967
2,35,Mitoma,MID,3,Brighton,0.0,0.0,5.16,82,1,1,-1,0,0,0,0,1,5.156
0,35,Fernandes,MID,3,Man Utd,0.0,0.0,5.21,86,1,1,-1,0,0,0,0,1,5.206
4,35,Salah,MID,3,Liverpool,0.0,0.0,6.17,83,1,1,-1,1,0,0,0,2,12.334
10,35,Watkins,FWD,4,Aston Villa,0.0,0.0,4.64,88,1,1,-1,0,0,0,0,1,4.643
1,35,Haaland,FWD,4,Man City,0.0,0.0,5.57,64,1,1,-1,0,1,0,0,1,5.571
8,35,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,4.14,84,1,0,0,0,0,0,0,0,0.0
14,35,Solanke,FWD,4,Bournemouth,0.0,0.0,3.67,86,1,0,1,0,0,0,0,0,0.0
12,35,Burn,DEF,2,Newcastle,0.0,0.0,2.64,83,1,0,2,0,0,0,0,0,0.0
11,35,Botman,DEF,2,Newcastle,0.0,0.0,2.64,85,1,0,3,0,0,0,0,0,0.0
13,35,Dias,DEF,2,Man City,0.0,6.0,2.35,57,0,0,-1,0,0,0,1,0,0.0
24,36,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,5.07,86,1,1,-1,0,0,0,0,1,5.07
23,36,Shaw,DEF,2,Man Utd,0.0,0.0,4.68,82,1,1,-1,0,0,0,0,1,4.681
28,36,Burn,DEF,2,Newcastle,0.0,0.0,6.32,79,1,1,-1,0,0,0,0,1,6.324
27,36,Botman,DEF,2,Newcastle,0.0,0.0,6.33,81,1,1,-1,0,0,0,0,1,6.328
22,36,Trippier,DEF,2,Newcastle,0.0,0.0,8.32,82,1,1,-1,1,0,0,0,2,16.648
16,36,Fernandes,MID,3,Man Utd,0.0,0.0,5.72,83,1,1,-1,0,0,0,0,1,5.72
20,36,Salah,MID,3,Liverpool,0.0,0.0,6.21,82,1,1,-1,0,0,0,0,1,6.208
21,36,March,MID,3,Brighton,0.0,0.0,7.07,79,1,1,-1,0,0,0,0,1,7.069
19,36,Mac Allister,MID,3,Brighton,0.0,0.0,7.62,79,1,1,-1,0,0,0,0,1,7.623
18,36,Mitoma,MID,3,Brighton,0.0,0.0,8.07,78,1,1,-1,0,1,0,0,1,8.075
17,36,Haaland,FWD,4,Man City,0.0,0.0,5.6,67,1,1,-1,0,0,0,0,1,5.602
25,36,Ederson,GKP,1,Man City,0.0,0.0,4.1,80,1,0,0,0,0,0,0,0,0.0
26,36,Watkins,FWD,4,Aston Villa,0.0,0.0,4.65,85,1,0,1,0,0,0,0,0,0.0
29,36,Solanke,FWD,4,Bournemouth,0.0,0.0,3.78,82,1,0,2,0,0,0,0,0,0.0
30,36,Aurier,DEF,2,Nott'm Forest,0.0,0.0,2.84,83,1,0,3,0,0,0,0,0,0.0
42,37,Ederson,GKP,1,Man City,0.0,0.0,7.12,72,1,1,-1,0,0,0,0,1,7.122
39,37,Trippier,DEF,2,Newcastle,0.0,0.0,4.95,82,1,1,-1,0,0,0,0,1,4.948
37,37,Estupiñán,DEF,2,Brighton,4.9,0.0,8.01,77,1,1,-1,0,0,1,0,1,8.01
40,37,Shaw,DEF,2,Man Utd,0.0,0.0,8.01,79,1,1,-1,0,0,0,0,1,8.005
36,37,Salah,MID,3,Liverpool,0.0,0.0,5.97,80,1,1,-1,0,0,0,0,1,5.971
35,37,Mac Allister,MID,3,Brighton,0.0,0.0,8.28,75,1,1,-1,0,0,0,0,1,8.284
33,37,Mitoma,MID,3,Brighton,0.0,0.0,8.63,74,1,1,-1,0,0,0,0,1,8.632
34,37,Rashford,MID,3,Man Utd,7.2,0.0,9.8,75,1,1,-1,0,0,1,0,1,9.801
31,37,Fernandes,MID,3,Man Utd,0.0,0.0,10.78,82,1,1,-1,1,0,0,0,2,21.562
43,37,Watkins,FWD,4,Aston Villa,0.0,0.0,3.98,84,1,1,-1,0,0,0,0,1,3.975
32,37,Haaland,FWD,4,Man City,0.0,0.0,10.13,73,1,1,-1,0,1,0,0,1,10.128
41,37,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,6.55,83,1,0,0,0,0,0,0,0,0.0
44,37,Botman,DEF,2,Newcastle,0.0,0.0,3.75,79,1,0,1,0,0,0,0,0,0.0
46,37,Solanke,FWD,4,Bournemouth,0.0,0.0,3.52,79,1,0,2,0,0,0,0,0,0.0
47,37,Aurier,DEF,2,Nott'm Forest,0.0,0.0,2.23,80,1,0,3,0,0,0,0,0,0.0
45,37,Burn,DEF,2,Newcastle,0.0,4.5,3.75,77,0,0,-1,0,0,0,1,0,0.0
38,37,March,MID,3,Brighton,0.0,5.2,7.54,75,0,0,-1,0,0,0,1,0,0.0
59,38,Johnstone,GKP,1,Crystal Palace,4.4,0.0,4.98,82,1,1,-1,0,0,1,0,1,4.984
54,38,Estupiñán,DEF,2,Brighton,0.0,0.0,3.65,73,1,1,-1,0,0,0,0,1,3.652
55,38,Trippier,DEF,2,Newcastle,0.0,0.0,4.14,82,1,1,-1,0,0,0,0,1,4.135
56,38,Shaw,DEF,2,Man Utd,0.0,0.0,4.28,76,1,1,-1,0,0,0,0,1,4.278
50,38,Mitoma,MID,3,Brighton,0.0,0.0,4.21,72,1,1,-1,0,0,0,0,1,4.207
51,38,Rashford,MID,3,Man Utd,0.0,0.0,4.99,74,1,1,-1,0,0,0,0,1,4.989
48,38,Fernandes,MID,3,Man Utd,0.0,0.0,5.61,81,1,1,-1,0,1,0,0,1,5.614
53,38,Salah,MID,3,Liverpool,0.0,0.0,6.25,78,1,1,-1,1,0,0,0,2,12.502
62,38,Solanke,FWD,4,Bournemouth,0.0,0.0,3.87,80,1,1,-1,0,0,0,0,1,3.87
60,38,Watkins,FWD,4,Aston Villa,0.0,0.0,4.03,83,1,1,-1,0,0,0,0,1,4.028
49,38,Haaland,FWD,4,Man City,0.0,0.0,5.48,68,1,1,-1,0,0,0,0,1,5.48
57,38,Arrizabalaga,GKP,1,Chelsea,0.0,0.0,3.72,84,1,0,0,0,0,0,0,0,0.0
52,38,Mac Allister,MID,3,Brighton,0.0,0.0,3.83,70,1,0,1,0,0,0,0,0,0.0
