,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
10,3,Pickford,GKP,1,Everton,0.0,0.0,4.08,89.0,1,1,-1,0,0,0,0,1,4.077
9,3,Udogie,DEF,2,Spurs,0.0,0.0,3.95,75.0,1,1,-1,0,0,0,0,1,3.952
8,3,Estupiñan,DEF,2,Brighton,0.0,0.0,4.73,80.0,1,1,-1,0,0,0,0,1,4.727
7,3,Chilwell,DEF,2,Chelsea,0.0,0.0,5.23,79.0,1,1,-1,0,0,0,0,1,5.234
6,3,Saka,MID,3,Arsenal,0.0,0.0,5.22,85.0,1,1,-1,0,0,0,0,1,5.218
5,3,Martinelli,MID,3,Arsenal,0.0,0.0,5.24,75.0,1,1,-1,0,0,0,0,1,5.237
3,3,Rashford,MID,3,Man Utd,0.0,0.0,5.74,82.0,1,1,-1,0,0,0,0,1,5.741
1,3,B.Fernandes,MID,3,Man Utd,0.0,0.0,6.05,85.0,1,1,-1,0,0,0,0,1,6.049
2,3,Foden,MID,3,Man City,0.0,0.0,6.32,70.0,1,1,-1,0,1,0,0,1,6.323
4,3,N.Jackson,FWD,4,Chelsea,7.0,0.0,5.69,78.0,1,1,-1,0,0,1,0,1,5.69
0,3,Haaland,FWD,4,Man City,0.0,0.0,7.63,85.0,1,1,-1,1,0,0,0,2,15.266
13,3,Turner,GKP,1,Nott'm Forest,0.0,0.0,2.7,89.0,1,0,0,0,0,0,0,0,0.0
12,3,Henry,DEF,2,Brentford,0.0,0.0,3.61,79.0,1,0,1,0,0,0,0,0,0.0
11,3,Botman,DEF,2,Newcastle,0.0,0.0,3.01,84.0,1,0,2,0,0,0,0,0,0.0
15,3,Mubama,FWD,4,West Ham,0.0,0.0,0.16,3.0,1,0,3,0,0,0,0,0,0.0
14,3,João Pedro,FWD,4,Brighton,0.0,5.5,2.87,65.0,0,0,-1,0,0,0,1,0,0.0
27,4,Pickford,GKP,1,Everton,0.0,0.0,3.84,89.0,1,1,-1,0,0,0,0,1,3.843
26,4,Udogie,DEF,2,Spurs,0.0,0.0,4.11,75.0,1,1,-1,0,0,0,0,1,4.108
29,4,Henry,DEF,2,Brentford,0.0,0.0,4.24,79.0,1,1,-1,0,0,0,0,1,4.237
24,4,Chilwell,DEF,2,Chelsea,0.0,0.0,4.94,79.0,1,1,-1,0,0,0,0,1,4.937
22,4,Martinelli,MID,3,Arsenal,0.0,0.0,4.66,75.0,1,1,-1,0,0,0,0,1,4.665
23,4,Saka,MID,3,Arsenal,0.0,0.0,4.68,85.0,1,1,-1,0,0,0,0,1,4.677
18,4,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.82,85.0,1,1,-1,0,0,0,0,1,4.821
19,4,Foden,MID,3,Man City,0.0,0.0,5.47,70.0,1,1,-1,0,0,0,0,1,5.471
17,4,Son,MID,3,Spurs,9.0,0.0,6.1,82.0,1,1,-1,0,1,1,0,1,6.096
21,4,N.Jackson,FWD,4,Chelsea,0.0,0.0,4.95,78.0,1,1,-1,0,0,0,0,1,4.954
16,4,Haaland,FWD,4,Man City,0.0,0.0,6.37,85.0,1,1,-1,1,0,0,0,2,12.742
30,4,Turner,GKP,1,Nott'm Forest,0.0,0.0,2.99,89.0,1,0,0,0,0,0,0,0,0.0
25,4,Estupiñan,DEF,2,Brighton,0.0,0.0,3.48,80.0,1,0,1,0,0,0,0,0,0.0
28,4,Botman,DEF,2,Newcastle,0.0,0.0,2.73,84.0,1,0,2,0,0,0,0,0,0.0
31,4,Mubama,FWD,4,West Ham,0.0,0.0,0.39,3.0,1,0,3,0,0,0,0,0,0.0
20,4,Rashford,MID,3,Man Utd,0.0,9.0,4.45,82.0,0,0,-1,0,0,0,1,0,0.0
45,5,Turner,GKP,1,Nott'm Forest,0.0,0.0,3.92,89.0,1,1,-1,0,0,0,0,1,3.92
43,5,Botman,DEF,2,Newcastle,0.0,0.0,3.55,84.0,1,1,-1,0,0,0,0,1,3.552
39,5,Chilwell,DEF,2,Chelsea,0.0,0.0,4.27,79.0,1,1,-1,0,0,0,0,1,4.267
41,5,Udogie,DEF,2,Spurs,0.0,0.0,4.89,75.0,1,1,-1,0,0,0,0,1,4.893
38,5,Saka,MID,3,Arsenal,0.0,0.0,5.02,85.0,1,1,-1,0,0,0,0,1,5.022
34,5,B.Fernandes,MID,3,Man Utd,0.0,0.0,5.03,85.0,1,1,-1,0,0,0,0,1,5.033
37,5,Martinelli,MID,3,Arsenal,0.0,0.0,5.07,75.0,1,1,-1,0,0,0,0,1,5.072
