Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,11,0.43,13,0.48,16,0.67,18,0.60,18,0.95,17,0.71,17,0.65,18,0.81,17,0.43
G,2,Leno,4.5,4.5,Fulham,88,3.75,87,3.47,86,3.58,86,3.24,86,6.20,85,3.51,85,3.50,85,3.76,84,3.03
M,3,Xhaka,4.9,4.9,Arsenal,71,2.46,70,2.69,65,3.07,66,2.07,64,2.47,63,2.19,65,2.55,62,2.65,63,2.73
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06
D,5,Holding,4.2,4.2,Arsenal,52,1.56,29,1.27,18,0.95,19,0.51,19,0.78,20,0.72,20,0.82,22,1.08,21,1.08
M,6,Partey,4.7,4.7,Arsenal,76,2.45,72,2.58,69,3.00,69,2.04,68,2.43,67,2.20,70,2.52,68,2.69,66,2.67
M,7,Ødegaard,6.8,6.8,Arsenal,82,4.00,77,4.20,76,5.39,75,3.07,76,4.12,72,3.44,74,4.20,72,4.42,74,4.64
D,8,Tierney,4.6,4.6,Arsenal,15,0.58,20,1.00,21,1.29,21,0.69,23,1.15,22,0.91,25,1.22,25,1.41,25,1.44
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.8,4.8,Arsenal,83,2.62,79,3.57,76,4.31,78,2.07,78,3.43,76,2.77,77,3.31,75,3.87,77,4.09
F,11,Nketiah,6.5,6.5,Arsenal,5,0.32,10,0.65,16,1.29,16,0.82,17,1.06,15,0.89,19,1.26,19,1.32,20,1.42
M,12,Smith Rowe,5.6,5.6,Arsenal,6,0.42,12,0.73,18,1.35,19,0.95,21,1.27,21,1.18,19,1.22,21,1.41,21,1.42
M,13,Saka,8.6,8.6,Arsenal,83,4.83,83,5.31,78,6.74,78,3.68,74,4.83,74,4.14,73,5.01,73,5.43,73,5.63
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.9,4.9,Arsenal,89,3.42,87,3.88,86,4.30,86,3.19,87,3.82,87,3.60,86,3.72,87,4.12,85,4.18
D,16,Gabriel,5.2,5.2,Arsenal,85,2.92,83,3.96,81,4.95,78,2.17,78,3.65,78,2.98,75,3.51,76,4.20,75,4.37
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,65,1.97,60,1.90,60,1.95,57,1.74,57,1.83,53,1.55,52,1.77,48,1.53,49,1.69
M,19,Martinelli,6.6,6.6,Arsenal,73,3.75,66,3.81,60,4.52,62,2.77,60,3.53,60,3.09,60,3.70,62,4.06,59,4.02
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,17,0.60,20,0.76,0,0.00,23,0.88,21,0.69,22,0.80,20,0.77,19,0.64,21,0.74
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,7,0.45,7,0.45,9,0.70,7,0.37,8,0.52,9,0.53,10,0.68,9,0.66,10,0.70
G,24,Turner,3.8,3.8,Arsenal,1,0.06,3,0.12,3,0.17,4,0.13,3,0.15,3,0.11,4,0.17,3,0.14,4,0.22
M,25,Fábio Vieira,5.6,5.6,Arsenal,11,0.62,9,0.55,13,0.92,11,0.54,12,0.71,14,0.73,14,0.81,15,0.96,17,1.08
D,26,Saliba,5.1,5.1,Arsenal,34,1.00,63,2.60,76,3.96,78,1.89,79,3.21,78,2.60,77,3.07,77,3.67,76,3.79
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,8.0,8.0,Arsenal,63,3.46,63,3.73,65,5.00,71,3.22,69,4.04,70,3.61,67,4.14,68,4.48,67,4.48
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,0,0.00,6,0.37,14,0.98,26,1.26,41,2.25,48,2.77,47,2.25,48,2.66
F,30,Ings,6.4,6.4,West Ham,65,3.18,62,2.70,58,3.08,57,2.81,52,4.68,48,2.37,44,2.22,45,2.69,46,2.46
G,31,Martínez,4.9,4.9,Aston Villa,88,4.10,88,3.59,87,3.44,88,3.89,87,3.18,87,3.63,86,3.44,85,3.06,85,3.39
D,32,Chambers,4.2,4.2,Aston Villa,48,2.32,43,1.42,39,1.24,32,1.40,28,0.63,21,0.75,21,0.71,19,0.44,19,0.62
D,33,Digne,4.6,4.6,Aston Villa,22,1.21,23,1.01,22,0.93,20,1.07,20,0.70,21,0.95,20,0.92,19,0.66,21,0.89
M,34,Traoré,4.9,4.9,Aston Villa,27,1.73,28,1.49,24,1.35,25,1.61,23,1.17,17,0.99,17,1.03,18,0.95,19,1.12
G,35,Olsen,3.9,3.9,Aston Villa,2,0.07,1,0.05,3,0.10,2,0.11,3,0.10,3,0.11,4,0.15,5,0.16,4,0.17
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,78,3.43,77,2.71,74,2.63,72,3.11,72,2.32,69,2.54,67,2.56,66,2.19,67,2.49
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.4,4.4,Aston Villa,84,3.78,83,2.51,79,2.32,77,3.16,75,1.45,76,2.51,75,2.34,74,1.42,75,2.19
F,40,Watkins,7.5,7.4,Aston Villa,82,5.17,81,3.98,80,3.94,78,4.78,79,3.37,80,3.86,78,4.07,77,3.34,80,4.00
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,71,4.53,69,3.44,67,3.34,67,4.11,63,2.72,62,3.14,60,3.22,61,2.72,61,3.16
D,43,Cash,4.6,4.6,Aston Villa,0,0.00,0,0.00,10,0.34,21,0.94,36,0.81,58,2.09,69,2.40,68,1.49,65,2.11
D,44,Konsa,4.4,4.4,Aston Villa,85,3.83,81,2.51,77,2.31,74,3.09,70,1.41,70,2.39,68,2.20,66,1.32,65,1.98
M,45,Bailey,4.4,4.4,Aston Villa,55,3.50,54,2.70,51,2.58,49,3.02,45,2.05,41,2.15,42,2.31,42,1.93,38,2.07
